buffer.size,count.of.agents,extent.x,extent.y,infection.radius,origin.x,origin.y,procs.x,procs.y,random.seed,stop.at
1e-5,100,0.2459658,0.2093397,1,-75.7193741,6.1670811,5,2,1,240
1e-5,100,0.2459658,0.2093397,1,-75.7193741,6.1670811,5,2,1,240
1e-5,1000,0.2459658,0.2093397,1,-75.7193741,6.1670811,5,2,1,480
