"tick","Susceptible","Exposed","Infected","Immune","Dead"
640,203289,35893,54994,5600,224
641,202649,36082,55395,5646,228
642,201972,36298,55808,5690,232
643,201341,36441,56255,5727,236
644,200662,36612,56726,5762,238
645,200033,36758,57166,5802,241
646,199349,37000,57553,5857,241
647,198701,37213,57937,5907,242
648,198066,37370,58365,5955,244
649,197451,37501,58798,6006,244
650,196810,37675,59207,6063,245
651,196176,37842,59602,6132,248
652,195542,38018,60007,6184,249
653,194887,38199,60430,6234,250
654,194217,38399,60863,6271,250
655,193461,38658,61310,6320,251
656,192766,38872,61740,6366,256
657,192020,39123,62179,6420,258
658,191334,39300,62625,6480,261
659,190668,39455,63086,6529,262
660,189916,39660,63570,6589,265
661,189225,39820,64041,6645,269
662,188512,40013,64495,6711,269
663,187832,40144,64985,6769,270
664,187162,40273,65466,6828,271
665,186468,40458,65912,6890,272
666,185773,40623,66381,6948,275
667,185047,40820,66844,7012,277
668,184334,40966,67356,7067,277
669,183577,41155,67856,7133,279
670,182845,41390,68282,7201,282
671,182114,41607,68734,7260,285
672,181407,41770,69209,7328,286
673,180687,41944,69684,7394,291
674,180056,42025,70176,7450,293
675,179368,42131,70695,7511,295
676,178680,42269,71189,7565,297
677,178019,42422,71626,7634,299
678,177282,42607,72103,7708,300
679,176506,42801,72625,7763,305
680,175743,42977,73152,7820,308
681,174945,43224,73624,7894,313
682,174143,43451,74129,7963,314
683,173367,43619,74648,8050,316
684,172612,43822,75131,8118,317
685,171851,43960,75688,8184,317
686,171107,44114,76197,8263,319
687,170341,44263,76747,8325,324
688,169571,44417,77309,8378,325
689,168791,44601,77833,8447,328
690,168012,44797,78345,8513,333
691,167211,45035,78816,8603,335
692,166406,45282,79304,8670,338
693,165638,45429,79842,8751,340
694,164868,45576,80400,8813,343
695,164116,45699,80946,8892,347
696,163379,45785,81507,8980,349
697,162629,45949,82015,9056,351
698,161876,46120,82513,9139,352
699,161201,46109,83116,9219,355
700,160539,46198,83622,9286,355
701,159871,46236,84169,9368,356
702,159115,46346,84723,9456,360
703,158335,46457,85307,9539,362
704,157513,46640,85860,9621,366
705,156669,46784,86477,9701,369
706,155823,46992,87033,9782,370
707,155033,47157,87568,9868,374
708,154258,47306,88103,9956,377
709,153477,47425,88659,10060,379
710,152688,47563,89206,10163,380
711,151871,47723,89773,10251,382
712,151094,47825,90349,10346,386
713,150311,47958,90901,10440,390
714,149501,48108,91466,10532,393
715,148674,48309,91984,10634,399
716,147864,48438,92566,10730,402
717,147075,48550,93173,10797,405
718,146294,48673,93720,10901,412
719,145511,48791,94295,10988,415
720,144709,48879,94907,11086,419
721,144709,48879,94907,11086,419
