Day; Zone
3;362
3;16
4;610
4;258
5;374
5;374
5;61
5;16
5;374
5;8
5;313
6;61
6;303
6;125
6;61
6;36
6;125
6;182
6;351
6;258
6;374
6;374
6;61
6;186
6;194
6;374
6;460
6;134
6;182
6;58
6;182
6;16
6;16
6;362
7;114
7;374
7;16
7;381
7;16
7;41
7;460
7;603
7;217
7;73
7;51
7;325
8;186
8;292
8;182
8;176
8;153
8;374
8;449
8;135
8;362
8;278
8;602
8;159
8;362
9;59
9;362
9;182
9;156
9;450
9;610
9;395
9;362
9;303
9;424
9;110
9;417
9;610
9;182
9;313
10;139
10;610
10;628
10;207
10;396
10;432
10;293
10;362
10;303
10;610
10;36
10;403
10;134
10;58
10;313
10;36
11;134
11;313
11;104
11;349
11;36
11;405
11;303
11;155
11;134
11;205
11;58
11;357
11;278
11;362
11;346
11;175
11;134
11;134
11;222
11;313
11;351
11;58
11;36
11;311
11;8
11;381
11;416
11;425
11;286
11;313
11;313
11;182
11;227
11;155
11;457
11;303
11;108
11;438
11;58
11;132
11;213
11;182
11;313
11;615
11;36
11;429
11;173
11;8
11;182
11;600
11;24
11;624
11;169
11;382
11;121
11;219
12;624
12;73
12;357
12;114
12;51
12;65
12;41
12;36
12;182
12;51
12;313
12;8
12;114
12;58
12;603
12;425
12;324
12;73
12;51
12;231
12;71
12;82
12;334
12;51
12;58
12;178
12;41
12;450
12;292
12;58
12;325
12;384
12;351
12;189
12;603
12;362
12;159
12;189
12;135
12;16
12;254
12;114
12;51
12;142
12;176
12;94
12;11
12;433
12;51
12;648
12;442
12;356
12;339
12;602
12;191
13;325
13;167
13;292
13;292
13;428
13;59
13;292
13;214
13;288
13;313
13;73
13;51
13;267
13;603
13;120
13;374
13;153
13;51
13;458
13;341
13;219
13;110
13;176
13;51
13;621
13;35
13;330
13;325
13;217
13;623
13;22
13;159
13;170
13;38
13;374
13;325
13;41
13;6
13;67
13;374
13;449
13;51
13;29
13;325
13;622
13;146
13;94
13;278
13;142
13;41
13;424
13;51
13;51
13;167
13;438
13;51
13;61
13;278
13;176
13;42
13;70
13;221
13;159
13;140
13;139
13;182
13;450
13;158
13;449
13;51
13;135
13;431
13;247
13;367
13;603
13;59
13;91
13;435
13;51
13;610
13;59
13;402
13;73
13;75
13;135
13;424
13;292
13;135
13;19
13;23
13;278
13;362
13;174
13;51
13;325
13;51
13;602
14;468
14;636
14;124
14;29
14;610
14;110
14;51
14;381
14;27
14;176
14;374
14;449
14;36
14;278
14;603
14;414
14;92
14;417
14;153
14;295
14;167
14;417
14;217
14;374
14;450
14;20
14;59
14;610
14;51
14;292
14;114
14;256
14;46
14;182
14;636
14;429
14;81
14;139
14;389
14;280
14;42
14;113
14;123
14;78
14;414
14;73
14;602
14;51
14;114
14;59
14;449
14;16
14;208
14;450
14;311
14;293
14;256
14;159
14;391
14;449
14;628
14;626
14;110
14;617
14;136
14;119
14;339
14;171
14;103
14;189
14;176
14;45
14;424
14;139
14;92
14;139
14;162
14;207
14;605
14;288
14;424
14;206
14;159
14;628
14;206
14;450
14;417
14;362
14;191
14;292
14;349
14;59
14;292
14;183
14;20
14;372
14;412
14;329
14;333
14;602
14;51
14;354
14;283
14;296
14;19
14;297
14;110
15;450
15;620
15;374
15;36
15;59
15;278
15;48
15;60
15;444
15;633
15;195
15;403
15;382
15;615
15;126
15;135
15;347
15;628
15;7
15;438
15;46
15;175
15;157
15;58
15;374
15;207
15;162
15;139
15;110
15;417
15;168
15;153
15;195
15;36
15;292
15;175
15;219
15;417
15;349
15;461
15;624
15;405
15;441
15;417
15;424
15;355
15;208
15;36
15;182
15;73
15;374
15;425
15;182
15;408
15;182
15;107
15;182
15;10
15;36
15;278
15;255
15;349
15;628
15;454
15;153
15;102
15;403
15;172
15;450
15;15
15;36
15;355
15;49
15;110
15;359
15;222
15;434
15;609
15;605
15;260
15;36
15;432
15;114
15;114
15;334
15;24
15;186
15;399
15;390
15;16
15;465
15;451
15;208
15;362
15;96
15;345
15;49
15;132
15;157
15;613
15;182
15;389
15;635
15;82
15;651
15;279
15;37
15;382
15;405
15;349
15;602
15;450
15;142
15;628
15;396
15;617
15;36
15;396
15;346
15;24
15;403
15;68
15;24
15;425
15;132
15;124
15;346
15;389
15;155
15;132
16;445
16;414
16;245
16;278
16;182
16;293
16;6
16;182
16;610
16;353
16;374
16;19
16;393
16;632
16;153
16;374
16;313
16;24
16;417
16;108
16;155
16;401
16;624
16;397
16;425
16;82
16;382
16;178
16;346
16;223
16;51
16;5
16;395
16;600
16;142
16;136
16;65
16;36
16;313
16;155
16;614
16;623
16;427
16;339
16;75
16;328
16;349
16;66
16;425
16;357
16;313
16;199
16;182
16;24
16;67
16;616
16;155
16;327
16;417
16;207
16;155
16;416
16;87
16;388
16;153
16;205
16;254
16;219
16;311
16;132
16;346
16;36
16;153
16;635
16;603
16;189
16;438
16;214
16;42
16;142
16;279
16;276
16;282
16;265
16;36
16;136
16;346
16;129
16;290
16;155
16;648
16;24
16;37
16;334
16;425
16;71
16;36
16;180
16;195
16;429
16;433
16;403
16;36
16;406
16;325
16;322
16;288
16;432
16;296
16;82
16;132
16;158
16;173
16;158
16;288
16;145
16;184
16;166
16;227
16;415
16;353
16;195
16;347
16;91
16;362
16;298
16;82
16;278
16;167
16;602
16;394
16;124
16;24
16;615
16;339
16;324
16;321
16;11
16;24
16;86
16;620
16;610
16;403
16;169
16;357
16;36
16;169
16;155
16;24
16;182
16;182
16;651
16;622
16;208
16;265
16;178
16;438
16;313
16;13
16;208
16;615
16;339
16;397
16;451
16;175
16;24
16;205
16;304
16;43
16;362
16;153
16;286
16;104
16;315
16;68
16;612
16;629
16;278
16;36
16;138
16;339
16;601
16;603
16;393
16;461
16;195
16;175
16;429
16;155
16;50
16;190
16;361
16;58
16;34
17;611
17;127
17;171
17;626
17;191
17;258
17;339
17;603
17;100
17;178
